UniProt_Accession_for_Protein_Group	UniProt_ID_for_Protein_Group	UniProt_Protein_Description	Quantified_Peptides_Experiment_1	Quantified_Peptides_Experiment_1.1	Quantified_PSMs_(Rep_1)_Experiment_1	Quantified_PSMs_(Rep_1)_Experiment_1.1	126	127N	127C	128N	128C	129N	129C	130N	130C	131	126.1	127N.1	127C.1	128N.1	128C.1	129N.1	129C.1	130N.1	130C.1	131.1	phenoDisco_Input	phenoDisco_Output	Curated_phenoDisco_Output	SVM_marker_set	SVM_classification	SVM_score	SVM_classification_(top_quartile)	Final_Localization_Assignment	First_localization_evidence?	Curated_Organelles	Cytoskeletal_Components	Trafficking_Proteins	Protein_Complexes	Signaling_Cascades	Oct4_Interactome	Nanog_Interactome	Sox2_Interactome	Cell_Surface_Proteins	uniprot_id	isoforms	max_fraction	min_difference	mean_expression	length	classified	low_fraction	AS	temp_binary
O88990	ACTN3_MOUSE	Alpha-actinin-3 OS=Mus musculus GN=Actn3 PE=2 SV=1 - [ACTN3_MOUSE]	1	1	1	1	0.201	0.314	0.195	0.115	0.132	0.043	0.0	0.0	0.0	0.0	0.178	0.075	0.226	0.139	0.185	0.165	0.033	0.0	0.0	0.0	unknown	unknown	unknown	unknown	Plasma membrane	0.154	unclassified	unclassified	N										O88990	1	1.0		1.6854754655	900	False	False	False	False
O89026	ROBO1_MOUSE	Roundabout homolog 1 OS=Mus musculus GN=Robo1 PE=1 SV=1 - [ROBO1_MOUSE]	1	4	1	4	0.018	0.209	0.142	0.12	0.208	0.132	0.021	0.074	0.02	0.055	0.005	0.207	0.16	0.188	0.165	0.131	0.107	0.033	0.0	0.004	unknown	unknown	unknown	unknown	Plasma membrane	0.757	unclassified	Plasma membrane	Y										O89026	1	1.0		5.53850212	1612	True	False	False	False
O89116	VTI1A_MOUSE	Vesicle transport through interaction with t-SNAREs homolog 1A OS=Mus musculus GN=Vti1a PE=1 SV=1 - [VTI1A_MOUSE]	1	4	1	4	0.077	0.053	0.087	0.115	0.354	0.182	0.05	0.037	0.018	0.027	0.031	0.055	0.086	0.145	0.268	0.226	0.091	0.041	0.033	0.024	unknown	unknown	unknown	unknown	Endosome	0.681	Endosome	Endosome	N										O89116	1	1.0		2.16844016225	217	True	False	False	False
P01831	THY1_MOUSE	Thy-1 membrane glycoprotein OS=Mus musculus GN=Thy1 PE=1 SV=1 - [THY1_MOUSE]	1	2	1	3	0.012	0.347	0.225	0.134	0.093	0.102	0.026	0.023	0.019	0.018	0.004	0.185	0.166	0.199	0.207	0.116	0.071	0.022	0.025	0.005	unknown	unknown	unknown	unknown	Plasma membrane	0.794	unclassified	Plasma membrane	N										P01831	1	1.0		10.61145021	162	True	False	False	False
P02340	P53_MOUSE	Cellular tumor antigen p53 OS=Mus musculus GN=Tp53 PE=1 SV=3 - [P53_MOUSE]	1	2	1	2	0.051	0.011	0.009	0.005	0.012	0.054	0.149	0.264	0.208	0.239	0.064	0.027	0.031	0.016	0.033	0.042	0.123	0.178	0.377	0.109	unknown	unknown	unknown	unknown	Nucleus - Chromatin	0.898	Nucleus - Chromatin	Nucleus - Chromatin	N										P02340	2	0.764481810617	0.30807559593	293.430067641	387	True	True	True	False
P03958	ADA_MOUSE	Adenosine deaminase OS=Mus musculus GN=Ada PE=1 SV=3 - [ADA_MOUSE]	1	3	1	3	0.357	0.081	0.077	0.039	0.079	0.046	0.032	0.169	0.0	0.12	0.272	0.14	0.139	0.124	0.154	0.073	0.057	0.02	0.006	0.014	unknown	unknown	unknown	unknown	Cytosol	0.273	unclassified	unclassified	N										P03958	1	1.0		24.2552388575	352	False	False	False	False
P04370-2	MBP_MOUSE	Isoform 2 of Myelin basic protein OS=Mus musculus GN=Mbp - [MBP_MOUSE]	1	1	1	1	0.002	0.022	0.03	0.022	0.03	0.022	0.019	0.0	0.835	0.017	0.0	0.25	0.162	0.208	0.127	0.213	0.04	0.0	0.0	0.0	unknown	unknown	unknown	unknown	Mitochondrion	0.138	unclassified	unclassified	N										P04370	1	0.611997090084		0.250941617597	250	False	True	False	False
P09036	ISK3_MOUSE	Serine protease inhibitor Kazal-type 3 OS=Mus musculus GN=Spink3 PE=1 SV=1 - [ISK3_MOUSE]	1	1	1	1	0.069	0.059	0.122	0.073	0.201	0.161	0.064	0.11	0.054	0.088	0.062	0.065	0.119	0.141	0.206	0.165	0.126	0.054	0.026	0.037	unknown	unknown	unknown	unknown	Extracellular matrix	0.499	Extracellular matrix	Extracellular matrix	N										P09036	1	1.0		27.7928687875	80	True	False	False	False
P0C7N9	PSMG4_MOUSE	Proteasome assembly chaperone 4 OS=Mus musculus GN=Psmg4 PE=1 SV=1 - [PSMG4_MOUSE]	1	1	1	1	0.438	0.138	0.12	0.052	0.051	0.067	0.059	0.038	0.01	0.028	0.458	0.09	0.114	0.078	0.084	0.055	0.037	0.021	0.031	0.033	unknown	unknown	unknown	unknown	Cytosol	0.815	unclassified	Cytosol	Y										P0C7N9	2	0.977048711598	0.0234904238955	32.3423722015	123	True	False	False	False
P0C8B4	CN142_MOUSE	Uncharacterized protein C14orf142 homolog OS=Mus musculus PE=4 SV=1 - [CN142_MOUSE]	1	1	1	1	0.748	0.063	0.138	0.025	0.015	0.011	0.0	0.0	0.0	0.0	0.725	0.041	0.092	0.042	0.044	0.027	0.006	0.003	0.013	0.007	unknown	unknown	unknown	unknown	Cytosol	0.247	unclassified	unclassified	Y										P0C8B4	1	1.0		16.1223602815	98	False	False	False	False
P10107	ANXA1_MOUSE	Annexin A1 OS=Mus musculus GN=Anxa1 PE=1 SV=2 - [ANXA1_MOUSE]	1	1	1	1	0.185	0.082	0.045	0.053	0.041	0.038	0.073	0.182	0.129	0.173	0.344	0.071	0.112	0.106	0.079	0.086	0.053	0.047	0.077	0.024	unknown	unknown	unknown	unknown	Cytosol	0.132	unclassified	unclassified	N										P10107	1	1.0		6.400165537	346	False	False	False	False
P11609	CD1D1_MOUSE	Antigen-presenting glycoprotein CD1d1 OS=Mus musculus GN=Cd1d1 PE=1 SV=3 - [CD1D1_MOUSE]	1	1	1	1	0.08	0.068	0.084	0.088	0.148	0.141	0.119	0.15	0.019	0.102	0.076	0.104	0.104	0.149	0.274	0.134	0.108	0.026	0.012	0.014	unknown	unknown	unknown	unknown	Endoplasmic reticulum/Golgi apparatus	0.345	unclassified	unclassified	N										P11609	1	1.0		5.7209915025	336	False	False	False	False
P11928	OAS1A_MOUSE	2'-5'-oligoadenylate synthase 1A OS=Mus musculus GN=Oas1a PE=2 SV=2 - [OAS1A_MOUSE]	1	2	1	2	0.0	0.031	0.042	0.0	0.15	0.186	0.086	0.261	0.0	0.243	0.054	0.043	0.063	0.113	0.197	0.217	0.146	0.085	0.036	0.045	unknown	unknown	unknown	unknown	Endoplasmic reticulum/Golgi apparatus	0.747	unclassified	Endoplasmic reticulum/Golgi apparatus	N										P11928	1	1.0		15.8006666117	367	True	False	False	False
P13705	MSH3_MOUSE	DNA mismatch repair protein Msh3 OS=Mus musculus GN=Msh3 PE=2 SV=3 - [MSH3_MOUSE]	1	2	1	2	0.012	0.0	0.013	0.012	0.0	0.023	0.038	0.42	0.148	0.334	0.17	0.05	0.065	0.061	0.041	0.073	0.065	0.212	0.202	0.063	unknown	unknown	unknown	unknown	Nucleus - Chromatin	0.37	unclassified	unclassified	N										P13705	1	1.0		19.602205944	1091	False	False	False	False
P16381	DDX3L_MOUSE	Putative ATP-dependent RNA helicase Pl10 OS=Mus musculus GN=D1Pas1 PE=1 SV=1 - [DDX3L_MOUSE]	1	1	1	2	0.354	0.081	0.051	0.034	0.064	0.079	0.0	0.0	0.288	0.05	0.192	0.073	0.057	0.047	0.084	0.053	0.059	0.033	0.201	0.2	unknown	unknown	unknown	unknown	Nucleus - Non-chromatin	0.365	unclassified	unclassified	Y										P16381	1	1.0		8.69766155	660	False	False	False	False
P19473	TUR8_MOUSE	Tumor rejection antigen P815A OS=Mus musculus GN=Trap1a PE=2 SV=1 - [TUR8_MOUSE]	1	1	1	1	0.095	0.087	0.081	0.043	0.168	0.137	0.067	0.163	0.022	0.136	0.101	0.078	0.095	0.093	0.191	0.141	0.147	0.066	0.042	0.046	unknown	unknown	unknown	unknown	Endoplasmic reticulum/Golgi apparatus	0.619	unclassified	unclassified	N									Non-Specific	P19473	1	1.0		115.609258286	224	False	False	False	False
P22682	CBL_MOUSE	E3 ubiquitin-protein ligase CBL OS=Mus musculus GN=Cbl PE=1 SV=3 - [CBL_MOUSE]	1	2	1	3	0.188	0.082	0.03	0.114	0.128	0.086	0.043	0.139	0.03	0.16	0.126	0.135	0.086	0.047	0.11	0.058	0.099	0.085	0.105	0.149	unknown	unknown	unknown	unknown	Endoplasmic reticulum/Golgi apparatus	0.14	unclassified	unclassified	N										P22682	1	1.0		14.0240908935	913	False	False	False	False
P23336-2	GGTA1_MOUSE	Isoform 2 of N-acetyllactosaminide alpha-1,3-galactosyltransferase OS=Mus musculus GN=Ggta1 - [GGTA1_MOUSE]	1	2	1	2	0.0	0.0	0.0	0.107	0.254	0.367	0.084	0.089	0.0	0.099	0.001	0.057	0.123	0.206	0.234	0.22	0.095	0.045	0.005	0.013	unknown	unknown	unknown	unknown	Endoplasmic reticulum/Golgi apparatus	0.294	unclassified	unclassified	N										P23336	2	0.557793456674	0.792778291023	17.3624979257	394	False	True	True	False
P25799-2	NFKB1_MOUSE	Isoform 2 of Nuclear factor NF-kappa-B p105 subunit OS=Mus musculus GN=Nfkb1 - [NFKB1_MOUSE]	1	2	1	3	0.116	0.101	0.072	0.02	0.044	0.065	0.157	0.171	0.078	0.176	0.213	0.096	0.134	0.093	0.091	0.09	0.06	0.114	0.048	0.06	unknown	unknown	unknown	unknown	60S Ribosome	0.142	unclassified	unclassified	N										P25799	1	1.0		13.8633751745	971	False	False	False	False
P25962	ADRB3_MOUSE	Beta-3 adrenergic receptor OS=Mus musculus GN=Adrb3 PE=2 SV=2 - [ADRB3_MOUSE]	1	1	1	1	0.026	0.187	0.186	0.113	0.252	0.147	0.026	0.03	0.0	0.034	0.011	0.06	0.035	0.06	0.068	0.131	0.29	0.145	0.111	0.09	unknown	unknown	unknown	unknown	Endoplasmic reticulum/Golgi apparatus	0.14	unclassified	unclassified	N										P25962	1	1.0		3.6978130225	400	False	False	False	False
P27040-4	AVR2B_MOUSE	Isoform ActR-IIB4 of Activin receptor type-2B OS=Mus musculus GN=Acvr2b - [AVR2B_MOUSE]	1	3	1	3	0.0	0.227	0.205	0.077	0.325	0.06	0.049	0.057	0.0	0.0	0.011	0.15	0.112	0.131	0.217	0.146	0.122	0.073	0.018	0.022	unknown	unknown	unknown	unknown	Plasma membrane	0.442	unclassified	unclassified	N										P27040	1	1.0		10.7554867925	536	False	False	False	False
P27512-2	TNR5_MOUSE	Isoform II of Tumor necrosis factor receptor superfamily member 5 OS=Mus musculus GN=Cd40 - [TNR5_MOUSE]	1	1	1	1	0.0	0.337	0.263	0.067	0.135	0.162	0.037	0.0	0.0	0.0	0.0	0.138	0.173	0.173	0.206	0.177	0.09	0.044	0.0	0.0	unknown	unknown	unknown	unknown	Plasma membrane	0.603	unclassified	Plasma membrane	N										P27512	2	0.392811941555	0.965276620309	0.303606353661	289	True	True	True	False
P28229	CXG1_MOUSE	Gap junction gamma-1 protein OS=Mus musculus GN=Gjc1 PE=1 SV=1 - [CXG1_MOUSE]	1	1	1	1	0.0	0.469	0.096	0.112	0.15	0.093	0.0	0.08	0.0	0.0	0.0	0.075	0.096	0.131	0.211	0.194	0.196	0.041	0.056	0.0	unknown	unknown	unknown	unknown	Plasma membrane	0.221	unclassified	unclassified	N										P28229	3	0.553975565973	0.607629312862	56.3324354815	396	False	True	True	False
P29699	FETUA_MOUSE	Alpha-2-HS-glycoprotein OS=Mus musculus GN=Ahsg PE=1 SV=1 - [FETUA_MOUSE]	1	1	1	1	0.047	0.103	0.224	0.166	0.168	0.098	0.051	0.042	0.058	0.042	0.016	0.06	0.12	0.201	0.307	0.116	0.073	0.037	0.025	0.045	unknown	unknown	unknown	unknown	Lysosome	0.357	unclassified	unclassified	N										P29699	1	1.0		1.2652654645	345	False	False	False	False
P30285	CDK4_MOUSE	Cyclin-dependent kinase 4 OS=Mus musculus GN=Cdk4 PE=1 SV=1 - [CDK4_MOUSE]	1	3	1	3	0.318	0.215	0.161	0.08	0.102	0.033	0.0	0.064	0.0	0.028	0.412	0.089	0.11	0.081	0.104	0.081	0.044	0.031	0.02	0.028	unknown	unknown	unknown	unknown	Cytosol	0.763	unclassified	Cytosol	N										P30285	1	1.0		261.682564215	303	True	False	False	False
P33896	INAR1_MOUSE	Interferon alpha/beta receptor 1 OS=Mus musculus GN=Ifnar1 PE=2 SV=2 - [INAR1_MOUSE]	1	1	1	1	0.062	0.167	0.194	0.102	0.141	0.145	0.071	0.054	0.017	0.046	0.0	0.154	0.113	0.281	0.186	0.123	0.058	0.084	0.0	0.0	unknown	unknown	unknown	unknown	Plasma membrane	0.391	unclassified	unclassified	N										P33896	1	1.0		14.802601553	590	False	False	False	False
P35276	RAB3D_MOUSE	Ras-related protein Rab-3D OS=Mus musculus GN=Rab3d PE=1 SV=1 - [RAB3D_MOUSE]	1	3	1	4	0.0	0.24	0.182	0.04	0.065	0.202	0.134	0.137	0.0	0.0	0.004	0.097	0.111	0.16	0.162	0.224	0.113	0.094	0.01	0.026	unknown	unknown	unknown	unknown	Endoplasmic reticulum/Golgi apparatus	0.188	unclassified	unclassified	N				Rab proteins						P35276	1	1.0		2.27487846275	219	False	False	False	False
P35294	RAB19_MOUSE	Ras-related protein Rab-19 OS=Mus musculus GN=Rab19 PE=2 SV=3 - [RAB19_MOUSE]	1	1	1	1	0.013	0.113	0.1	0.075	0.189	0.255	0.116	0.078	0.013	0.047	0.028	0.078	0.094	0.159	0.181	0.229	0.116	0.085	0.017	0.013	unknown	unknown	unknown	unknown	Endoplasmic reticulum/Golgi apparatus	0.469	unclassified	unclassified	N										P35294	1	1.0		0.60486396425	217	False	False	False	False
P36895	BMR1A_MOUSE	Bone morphogenetic protein receptor type-1A OS=Mus musculus GN=Bmpr1a PE=2 SV=1 - [BMR1A_MOUSE]	1	3	1	4	0.005	0.23	0.197	0.161	0.142	0.139	0.059	0.035	0.0	0.033	0.001	0.132	0.162	0.188	0.185	0.214	0.075	0.036	0.004	0.002	unknown	unknown	unknown	unknown	Plasma membrane	0.712	unclassified	Plasma membrane	Y					BMP/SMAD					P36895	1	1.0		20.426111414	532	True	False	False	False
P42337	PK3CA_MOUSE	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform OS=Mus musculus GN=Pik3ca PE=1 SV=2 - [PK3CA_MOUSE]	1	2	1	2	0.03	0.377	0.167	0.131	0.091	0.109	0.041	0.036	0.017	0.0	0.037	0.202	0.182	0.188	0.164	0.127	0.042	0.018	0.007	0.034	unknown	unknown	unknown	unknown	Plasma membrane	0.721	unclassified	Plasma membrane	N										P42337	1	1.0		3.93897054275	1068	True	False	False	False
P43021	NODAL_MOUSE	Nodal OS=Mus musculus GN=Nodal PE=2 SV=2 - [NODAL_MOUSE]	1	2	1	2	0.069	0.077	0.11	0.068	0.185	0.147	0.034	0.143	0.074	0.093	0.064	0.11	0.074	0.139	0.223	0.165	0.13	0.071	0.01	0.014	unknown	unknown	unknown	unknown	Extracellular matrix	0.279	unclassified	unclassified	N					Nodal					P43021	1	1.0		40.5067652595	354	False	False	False	False
P43346	DCK_MOUSE	Deoxycytidine kinase OS=Mus musculus GN=Dck PE=1 SV=1 - [DCK_MOUSE]	1	1	1	1	0.784	0.0	0.088	0.02	0.019	0.013	0.015	0.024	0.013	0.023	0.633	0.05	0.081	0.079	0.062	0.042	0.01	0.011	0.02	0.012	unknown	unknown	unknown	unknown	Proteasome	0.484	unclassified	unclassified	N										P43346	1	1.0		21.31205096	260	False	False	False	False
P46718	PDCD2_MOUSE	Programmed cell death protein 2 OS=Mus musculus GN=Pdcd2 PE=2 SV=2 - [PDCD2_MOUSE]	1	1	1	1	0.563	0.099	0.083	0.073	0.053	0.02	0.014	0.024	0.0	0.071	0.355	0.101	0.096	0.078	0.113	0.054	0.055	0.02	0.033	0.096	unknown	unknown	unknown	unknown	Proteasome	0.449	unclassified	unclassified	N										P46718	1	1.0		54.708266604	343	False	False	False	False
P48025	KSYK_MOUSE	Tyrosine-protein kinase SYK OS=Mus musculus GN=Syk PE=1 SV=2 - [KSYK_MOUSE]	1	2	1	2	0.402	0.141	0.089	0.05	0.103	0.031	0.036	0.083	0.027	0.039	0.258	0.104	0.094	0.088	0.071	0.069	0.054	0.049	0.082	0.13	unknown	unknown	unknown	unknown	Cytosol	0.31	unclassified	unclassified	N										P48025	2	0.76983307557	0.298982898676	5.5466715305	629	False	True	True	False
P48453-2	PP2BB_MOUSE	Isoform 1 of Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform OS=Mus musculus GN=Ppp3cb - [PP2BB_MOUSE]	1	1	1	1	0.126	0.374	0.262	0.082	0.06	0.08	0.015	0.0	0.0	0.0	0.133	0.18	0.167	0.176	0.159	0.114	0.046	0.012	0.005	0.008	unknown	unknown	unknown	unknown	Actin cytoskeleton	0.277	unclassified	unclassified	N										P48453	1	1.0		19.1668609475	525	False	False	False	False
P50096	IMDH1_MOUSE	Inosine-5'-monophosphate dehydrogenase 1 OS=Mus musculus GN=Impdh1 PE=2 SV=2 - [IMDH1_MOUSE]	1	1	1	1	0.575	0.039	0.05	0.0	0.065	0.08	0.0	0.05	0.046	0.096	0.463	0.015	0.053	0.017	0.048	0.013	0.071	0.087	0.109	0.124	unknown	unknown	unknown	unknown	Proteasome	0.146	unclassified	unclassified	N										P50096	1	1.0		38.456261175	514	False	False	False	False
P51612	XPC_MOUSE	DNA repair protein complementing XP-C cells homolog OS=Mus musculus GN=Xpc PE=1 SV=2 - [XPC_MOUSE]	1	1	1	1	0.263	0.073	0.057	0.0	0.0	0.0	0.052	0.192	0.201	0.163	0.042	0.014	0.01	0.011	0.011	0.044	0.082	0.241	0.478	0.068	unknown	unknown	unknown	unknown	Nucleus - Chromatin	0.484	unclassified	unclassified	N										P51612	1	1.0		6.504817556	930	False	False	False	False
P51830	ADCY9_MOUSE	Adenylate cyclase type 9 OS=Mus musculus GN=Adcy9 PE=1 SV=1 - [ADCY9_MOUSE]	1	3	1	3	0.0	0.376	0.181	0.123	0.064	0.1	0.051	0.074	0.0	0.031	0.018	0.156	0.163	0.176	0.151	0.17	0.086	0.027	0.046	0.008	unknown	unknown	unknown	unknown	Plasma membrane	0.701	unclassified	Plasma membrane	N										P51830	1	1.0		0.52515350725	1353	True	False	False	False
P52795	EFNB1_MOUSE	Ephrin-B1 OS=Mus musculus GN=Efnb1 PE=1 SV=1 - [EFNB1_MOUSE]	1	1	1	1	0.0	0.322	0.226	0.127	0.174	0.078	0.028	0.025	0.006	0.014	0.003	0.236	0.132	0.148	0.207	0.134	0.103	0.02	0.01	0.007	unknown	unknown	unknown	unknown	Plasma membrane	0.843	Plasma membrane	Plasma membrane	N									Putative	P52795	1	1.0		0.947811428	345	True	False	False	False
P53762-2	ARNT_MOUSE	Isoform Short of Aryl hydrocarbon receptor nuclear translocator OS=Mus musculus GN=Arnt - [ARNT_MOUSE]	1	1	1	1	0.322	0.029	0.036	0.0	0.0	0.0	0.0	0.292	0.075	0.247	0.34	0.043	0.048	0.027	0.032	0.05	0.06	0.112	0.145	0.141	unknown	unknown	unknown	unknown	Nucleus - Non-chromatin	0.184	unclassified	unclassified	N									Non-Specific	P53762	2	0.569620263957	0.755555522293	14.7755731885	791	False	True	True	False
P53995	APC1_MOUSE	Anaphase-promoting complex subunit 1 OS=Mus musculus GN=Anapc1 PE=1 SV=2 - [APC1_MOUSE]	1	6	1	6	0.4	0.081	0.103	0.0	0.054	0.0	0.0	0.142	0.067	0.153	0.273	0.067	0.07	0.054	0.057	0.058	0.041	0.044	0.222	0.115	unknown	unknown	unknown	unknown	Nucleus - Non-chromatin	0.159	unclassified	unclassified	Y										P53995	1	1.0		24.5326762755	1944	False	False	False	False
P55144-3	TYRO3_MOUSE	Isoform 1 of Tyrosine-protein kinase receptor TYRO3 OS=Mus musculus GN=Tyro3 - [TYRO3_MOUSE]	1	3	1	3	0.0	0.184	0.293	0.158	0.229	0.058	0.0	0.046	0.0	0.032	0.005	0.055	0.135	0.229	0.212	0.217	0.076	0.054	0.011	0.007	unknown	unknown	unknown	unknown	Lysosome	0.22	unclassified	unclassified	N										P55144	1	1.0		22.964870196	880	False	False	False	False
P55200-2	MLL1_MOUSE	Isoform 2 of Histone-lysine N-methyltransferase MLL OS=Mus musculus GN=Mll - [MLL1_MOUSE]	1	1	1	1	0.022	0.0	0.0	0.0	0.0	0.03	0.167	0.221	0.254	0.306	0.01	0.0	0.0	0.0	0.0	0.082	0.072	0.331	0.425	0.08	unknown	unknown	unknown	unknown	Nucleus - Chromatin	0.693	unclassified	Nucleus - Chromatin	Y										P55200	1	1.0		3.90500484025	3966	True	False	False	False
P56213	ALR_MOUSE	FAD-linked sulfhydryl oxidase ALR OS=Mus musculus GN=Gfer PE=2 SV=2 - [ALR_MOUSE]	1	3	1	3	0.058	0.01	0.015	0.016	0.052	0.048	0.125	0.37	0.013	0.294	0.017	0.019	0.02	0.018	0.034	0.082	0.45	0.213	0.029	0.118	unknown	unknown	unknown	unknown	Mitochondrion	0.944	unclassified	Mitochondrion	N										P56213	1	1.0		30.8556696885	198	True	False	False	False
P56390	CKS2_MOUSE	Cyclin-dependent kinases regulatory subunit 2 OS=Mus musculus GN=Cks2 PE=2 SV=1 - [CKS2_MOUSE]	1	1	1	1	0.246	0.07	0.051	0.039	0.07	0.036	0.047	0.158	0.112	0.171	0.147	0.112	0.073	0.064	0.102	0.07	0.07	0.051	0.147	0.164	unknown	unknown	unknown	unknown	60S Ribosome	0.326	unclassified	unclassified	Y										P56390	1	1.0		110.25361589	79	False	False	False	False
P57791	FACE2_MOUSE	CAAX prenyl protease 2 OS=Mus musculus GN=Rce1 PE=2 SV=1 - [FACE2_MOUSE]	1	1	1	1	0.0	0.063	0.041	0.045	0.175	0.153	0.113	0.237	0.0	0.173	0.007	0.073	0.06	0.126	0.244	0.19	0.17	0.068	0.033	0.03	unknown	unknown	unknown	unknown	Endoplasmic reticulum/Golgi apparatus	0.852	unclassified	Endoplasmic reticulum/Golgi apparatus	N										P57791	1	1.0		16.3252938235	329	True	False	False	False
P58069	RASA2_MOUSE	Ras GTPase-activating protein 2 OS=Mus musculus GN=Rasa2 PE=1 SV=1 - [RASA2_MOUSE]	1	3	1	3	0.018	0.395	0.238	0.126	0.078	0.067	0.039	0.015	0.01	0.015	0.021	0.212	0.178	0.185	0.153	0.146	0.042	0.022	0.019	0.022	unknown	unknown	unknown	unknown	Plasma membrane	0.732	unclassified	Plasma membrane	N					Ras					P58069	1	1.0		3.87145616725	847	True	False	False	False
P59470	RPC2_MOUSE	DNA-directed RNA polymerase III subunit RPC2 OS=Mus musculus GN=Polr3b PE=2 SV=2 - [RPC2_MOUSE]	1	5	1	5	0.254	0.075	0.046	0.012	0.02	0.069	0.063	0.171	0.118	0.171	0.267	0.048	0.071	0.065	0.056	0.07	0.108	0.109	0.083	0.122	unknown	unknown	unknown	unknown	60S Ribosome	0.238	unclassified	unclassified	N										P59470	1	1.0		21.1060473722	1133	False	False	False	False
P59481	LMA2L_MOUSE	VIP36-like protein OS=Mus musculus GN=Lman2l PE=2 SV=1 - [LMA2L_MOUSE]	1	4	1	4	0.012	0.058	0.062	0.03	0.208	0.176	0.098	0.204	0.021	0.133	0.008	0.045	0.09	0.139	0.187	0.255	0.116	0.098	0.037	0.026	unknown	unknown	unknown	unknown	Endoplasmic reticulum/Golgi apparatus	0.917	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	N										P59481	1	1.0		4.12023671725	347	True	False	False	False
P59997	KDM2A_MOUSE	Lysine-specific demethylase 2A OS=Mus musculus GN=Kdm2a PE=1 SV=2 - [KDM2A_MOUSE]	1	1	1	2	0.073	0.011	0.008	0.0	0.008	0.032	0.066	0.256	0.312	0.234	0.04	0.0	0.0	0.0	0.0	0.041	0.056	0.208	0.517	0.138	unknown	unknown	unknown	unknown	Nucleus - Chromatin	0.805	unclassified	Nucleus - Chromatin	N										P59997	1	1.0		18.9817744865	1161	True	False	False	False
P60898	RPB9_MOUSE	DNA-directed RNA polymerase II subunit RPB9 OS=Mus musculus GN=Polr2i PE=2 SV=1 - [RPB9_MOUSE]	1	1	1	1	0.302	0.031	0.043	0.006	0.012	0.021	0.06	0.124	0.263	0.138	0.299	0.02	0.039	0.026	0.031	0.03	0.044	0.076	0.33	0.106	unknown	unknown	unknown	unknown	Nucleus - Non-chromatin	0.616	unclassified	Nucleus - Non-chromatin	N										P60898	1	1.0		41.676605816	125	True	False	False	False
P61793-2	LPAR1_MOUSE	Isoform 2 of Lysophosphatidic acid receptor 1 OS=Mus musculus GN=Lpar1 - [LPAR1_MOUSE]	1	1	1	1	0.0	0.127	0.159	0.183	0.269	0.171	0.042	0.026	0.0	0.022	0.001	0.081	0.104	0.2	0.25	0.255	0.069	0.03	0.005	0.006	unknown	unknown	unknown	unknown	Lysosome	0.507	unclassified	unclassified	N										P61793	2	0.724867498313	0.379562474972	14.951122522	364	False	True	True	False
P61963	DCAF7_MOUSE	DDB1- and CUL4-associated factor 7 OS=Mus musculus GN=Dcaf7 PE=2 SV=1 - [DCAF7_MOUSE]	1	3	1	3	0.147	0.134	0.117	0.064	0.108	0.106	0.066	0.079	0.085	0.095	0.233	0.073	0.091	0.075	0.077	0.1	0.065	0.038	0.112	0.136	unknown	unknown	unknown	unknown	60S Ribosome	0.231	unclassified	unclassified	N							Prey			P61963	1	1.0		30.5954160185	342	False	False	False	False
P62305	RUXE_MOUSE	Small nuclear ribonucleoprotein E OS=Mus musculus GN=Snrpe PE=2 SV=1 - [RUXE_MOUSE]	1	2	1	2	0.309	0.015	0.036	0.013	0.023	0.014	0.021	0.076	0.344	0.149	0.172	0.024	0.032	0.02	0.025	0.023	0.036	0.028	0.312	0.328	unknown	unknown	unknown	unknown	Nucleus - Non-chromatin	0.906	Nucleus - Non-chromatin	Nucleus - Non-chromatin	N				Small nuclear ribonucleic particles (snRNP)						P62305	1	1.0		238.36336049	92	True	False	False	False
P62315	SMD1_MOUSE	Small nuclear ribonucleoprotein Sm D1 OS=Mus musculus GN=Snrpd1 PE=2 SV=1 - [SMD1_MOUSE]	1	1	1	5	0.247	0.063	0.066	0.026	0.027	0.02	0.029	0.073	0.304	0.143	0.214	0.006	0.022	0.006	0.02	0.017	0.018	0.01	0.371	0.317	unknown	unknown	unknown	unknown	Nucleus - Non-chromatin	0.823	unclassified	Nucleus - Non-chromatin	N				Small nuclear ribonucleic particles (snRNP)					High Confidence	P62315	1	1.0		153.353454095	119	True	False	False	False
P62484	ABI2_MOUSE	Abl interactor 2 OS=Mus musculus GN=Abi2 PE=1 SV=1 - [ABI2_MOUSE]	1	1	1	1	0.019	0.292	0.212	0.118	0.111	0.078	0.043	0.064	0.018	0.044	0.018	0.149	0.201	0.194	0.133	0.129	0.042	0.017	0.02	0.095	unknown	unknown	unknown	unknown	Plasma membrane	0.427	unclassified	unclassified	N										P62484	3	0.828933810024	0.195270853745	17.2221600125	446	False	True	True	False
P62774	MTPN_MOUSE	Myotrophin OS=Mus musculus GN=Mtpn PE=1 SV=2 - [MTPN_MOUSE]	1	3	1	4	0.684	0.076	0.106	0.048	0.051	0.035	0.0	0.0	0.0	0.0	0.481	0.098	0.138	0.083	0.087	0.067	0.022	0.008	0.005	0.011	unknown	unknown	unknown	unknown	Cytosol	0.6	unclassified	Cytosol	N										P62774	1	1.0		26.101664976	118	True	False	False	False
